text,phase,sentiment
Vulgar is too optimistic a title .,train,1
"The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",train,2
"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",train,3
"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",train,3
A bland animated sequel that hardly seems worth the effort .,train,1
"One of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating .",train,1
It is an unstinting look at a collaboration between damaged people that may or may not qual,train,3
"Instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",train,3
"Huppert gives Erika a persona that is so intriguing that you find yourself staring hypnotically at her , trying to understand her and wondering if she 'll crack .",train,3
Fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,train,3
Morvern rocks .,train,3
"This is a raw and disturbing tale that took five years to make , and the trio 's absorbing narrative is a heart-wrenching showcase indeed .",train,3
"Like Mike is a slight and uninventive movie : Like the exalted Michael Jordan referred to in the title , many can aspire but none can equal .",train,1
"Take any 12-year-old boy to see this picture , and he 'll be your slave for a year .",train,3
"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",train,3
"Yes they can swim , the title is merely Anne-Sophie Birot 's off-handed way of saying girls find adolescence difficult to wade through .",train,2
"From both a great and a terrible story , Mr. Nelson has made a film that is an undeniably worthy and devastating experience .",train,3
Although it does n't always hang together -- violence and whimsy do n't combine easily -- `` Cherish '' certainly is n't dull .,train,2
Although commentary on Nachtwey is provided ... it 's the image that really tells the tale .,train,3
"With very little to add beyond the dark visions already relayed by superb recent predecessors like Swimming With Sharks and The Player , this latest skewering ... may put off insiders and outsiders alike .",train,1
Then you 'd do well to check this one out because it 's straight up Twin Peaks action ...,train,3
An unsuccessful attempt at a movie of ideas .,train,1
The Ya-Ya 's have many secrets and one is - the books are better .,train,1
Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?,train,2
"By the end of the movie , you 're definitely convinced that these women are spectacular .",train,3
"A frustrating ` tweener ' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls .",train,1
"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",train,3
Certainly .,train,2
Apparently reassembled from the cutting-room floor of any given daytime soap .,train,1
A vivid cinematic portrait .,train,3
"A soggy , cliche-bound epic-horror yarn that ends up being even dumber than its title .",train,1
"Despite a quieter middle section , involving Aragorn 's dreams of Arwen , this is even better than The Fellowship .",train,3
"Despite its flaws , Crazy as Hell marks an encouraging new direction for La Salle .",train,3
Sucking all the ` classic ' out of Robert Louis Stevenson 's Treasure Island and filling the void with sci-fi video game graphics and Disney-fied adolescent angst ...,train,1
"The charms of willful eccentricity , at least as evidenced by this latest cinematic essay , are beginning to wear a bit thin .",train,1
"If you like quirky , odd movies and/or the ironic , here 's a fun one .",train,3
... what a banal bore the preachy Circuit turns out to be,train,1
"Much like its easily dismissive take on the upscale lifestyle , there is n't much there here .",train,1
"From beginning to end , this overheated melodrama plays like a student film .",train,2
"Instead of contriving a climactic hero 's death for the beloved-major - character-who-shall - remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?",train,1
"Although Life or Something Like It is very much in the mold of feel-good movies , the cast and director Stephen Herek 's polished direction pour delightfully piquant wine from aged bottles .",train,3
The disjointed mess flows as naturally as Jolie 's hideous yellow ` do .,train,1
"One long , numbing action sequence made up mostly of routine stuff Yuen has given us before .",train,1
... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .,train,2
Mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,train,1
Take away all the cliches and the carbon copy scenes from every drug movie we 've seen and all you have left are John Leguizamo 's cool jackets .,train,2
"On its own , it 's not very interesting .",train,1
Wildly incompetent but brilliantly named Half Past Dead -- or for Seagal pessimists : Totally Past His Prime .,train,1
"Make no mistake , ivans xtc .",train,2
"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie .",train,1
( T ) he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation .,train,1
"It 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) .",train,1
"You can taste it , but there 's no fizz .",train,1
At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .,train,2
"Usually when I get this much syrup , I like pancakes to go with it .",train,1
"Outer-space buffs might love this film , but others will find its pleasures intermittent .",train,1
This thing works on no level whatsoever for me .,train,1
Offers that rare combination of entertainment and education .,train,3
"Lovingly photographed in the manner of a Golden Book sprung to life , Stuart Little 2 manages sweetness largely without stickiness .",train,3
"while ( Roman Coppola ) scores points for style , he staggers in terms of story .",train,2
A big meal of cliches that the talented cast generally chokes on .,train,1
You 'd be hard put to find a movie character more unattractive or odorous ( than Leon ) .,train,1
"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",train,3
"Return to Never Land is much more P.C. than the original version ( no more racist portraits of Indians , for instance ) , but the excitement is missing .",train,1
A visual spectacle full of stunning images and effects .,train,3
"Its plot and animation offer daytime TV serviceability , but little more .",train,1
"( Allen 's ) been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now .",train,2
`` Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,train,3
"But this new jangle of noise , mayhem and stupidity must be a serious contender for the title .",train,1
These are textbook lives of quiet desperation .,train,1
"This heist flick about young Brooklyn hoods is off the shelf after two years to capitalize on the popularity of Vin Diesel , Seth Green and Barry Pepper .",train,2
"This toothless Dog , already on cable , loses all bite on the big screen .",train,1
"Its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",train,1
"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave 's noblest efforts can redeem it from hopeless sentimentality .",train,1
It 's a visual Rorschach test and I must have failed .,train,1
What 's the most positive thing that can be said about the new Rob Schneider vehicle ?,train,2
"When in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip .",train,2
"Dull , if not devoid of wit , this shaggy dog longs to frisk through the back alleys of history , but scarcely manages more than a modest , snoozy charm .",train,1
"The film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing .",train,1
A frustrating combination of strained humor and heavy-handed sentimentality .,train,1
"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness .",train,1
"Audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant .",train,3
"My Big Fat Greek Wedding is that rare animal known as ' a perfect family film , ' because it 's about family .",train,3
"Narratively , Trouble Every Day is a plodding mess .",train,1
"A touching , sophisticated film that almost seems like a documentary in the way it captures an Italian immigrant family on the brink of major changes .",train,3
"May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",train,3
there is truth here,train,3
"It 's all gratuitous before long , as if Schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story .",train,2
"The most remarkable ( and frustrating ) thing about World Traveler , which opens today in Manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .",train,2
"For a film that 's being advertised as a comedy , Sweet Home Alabama is n't as funny as you 'd hoped .",train,1
"Not all of the stories work and the ones that do are thin and scattered , but the film works well enough to make it worth watching .",train,3
"Slap me , I saw this movie .",train,1
An undistinguished attempt to make a classic theater piece cinematic .,train,1
It 's difficult to say whether The Tuxedo is more boring or embarrassing -- I 'm prepared to call it a draw .,train,1
"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",train,3
"The people in ABC Africa are treated as docile , mostly wordless ethnographic extras .",train,2
"For those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed .",train,3
"... pitiful , slapdash disaster .",train,1
"In the affable Maid in Manhattan , Jennifer Lopez 's most aggressive and most sincere attempt to take movies by storm , the diva shrewdly surrounds herself with a company of strictly A-list players .",train,3
It 's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown Chelsea Hotel ...,train,3
"There is no insight into the anguish of Heidi 's life -- only a depiction of pain , today 's version of Greek tragedy , the talk-show guest decrying her fate .",train,2
It 's time to let your hair down -- Greek style .,train,2
Thoroughly awful .,train,1
The Komediant is a tale worth catching .,train,3
Never inspires more than an interested detachment .,train,1
The result is something quite fresh and delightful .,train,3
( A ) satisfying niblet .,train,3
Douglas McGrath 's Nicholas Nickleby does Dickens as it should be done cinematically .,train,3
A moving and important film .,train,3
"Smith 's point is simple and obvious -- people 's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers .",train,3
"Without non-stop techno or the existential overtones of a Kieslowski morality tale , Maelström is just another Winter Sleepers .",train,1
"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",train,3
You do n't know whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace .,train,1
A remarkably insightful look at the backstage angst of the stand-up comic .,train,3
"The Movie could have been made 40 years ago , and parents ' appreciation of it may depend on whether they consider that a good thing .",train,2
"It 's an interesting effort ( particularly for JFK conspiracy nuts ) , and Barry 's cold-fish act makes the experience worthwhile .",train,3
"Entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .",train,3
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .",train,3
What results is the best performance from either in years .,train,3
The magic of the film lies not in the mysterious spring but in the richness of its performances .,train,3
But that they are doing it is thought-provoking .,train,3
` Christian Bale 's Quinn ( is ) a leather clad grunge-pirate with a hairdo like Gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent . ',train,1
"The smug , oily demeanor that Donovan adopts throughout the stupidly named Pipe Dream is just repulsive .",train,1
Intimate and panoramic .,train,3
But it 's surprisingly harmless .,train,3
` Enigma ' is a good name for a movie this delibrately obtuse and unapproachable .,train,1
"It remains to be seen whether Statham can move beyond the crime-land action genre , but then again , who says he has to ?",train,2
Among the year 's most intriguing explorations of alientation .,train,3
It would n't be my preferred way of spending 100 minutes or $ 7.00 .,train,1
"An earnest , heartrending look at the divide between religious fundamentalists and their gay relatives .",train,3
"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",train,2
A low-rent retread of the Alien pictures .,train,1
"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .",train,3
"Of course , by more objective measurements it 's still quite bad .",train,1
But Death to Smoochy keeps firing until the bitter end .,train,2
Spare yet audacious ...,train,2
It 's a bad thing when a movie has about as much substance as its end credits blooper reel .,train,1
"... Brian De Palma is utterly mad : cinema mad , set-piece mad , style mad .",train,2
Thoroughly engrossing and ultimately tragic .,train,1
A cinematic sleeping pill of impressive potency .,train,2
"A delightful stimulus for the optic nerves , so much that it 's forgivable that the plot feels like every other tale of a totalitarian tomorrow .",train,3
I felt trapped and with no obvious escape for the entire 100 minutes .,train,1
A comic gem with some serious sparkles .,train,3
"At the film 's centre is a precisely layered performance by an actor in his mid-seventies , Michel Piccoli .",train,2
"One of the year 's best films , featuring an Oscar-worthy performance by Julianne Moore .",train,3
Canadian filmmaker Gary Burns ' inventive and mordantly humorous take on the soullessness of work in the city .,train,3
"A cellophane-pop remake of the punk classic Ladies and Gentlemen , The Fabulous Stains ... Crossroads is never much worse than bland or better than inconsequential .",train,1
Blood Work is laughable in the solemnity with which it tries to pump life into overworked elements from Eastwood 's Dirty Harry period .,train,1
"A mawkish , implausible platonic romance that makes Chaplin 's City Lights seem dispassionate by comparison .",train,1
"Saved from being merely way-cool by a basic , credible compassion .",train,2
"It 's sobering , particularly if anyone still thinks this conflict can be resolved easily , or soon .",train,2
So what is the point ?,train,1
The story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .,train,1
"Engrossing and affecting , if ultimately not quite satisfying .",train,2
Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,train,1
"Nicole Holofcenter , the insightful writer/director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully .",train,3
"Vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores .",train,3
Children and adults enamored of all things Pokemon wo n't be disappointed .,train,3
"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",train,3
"In any case , I would recommend Big Bad Love only to Winger fans who have missed her since 1995 's Forget Paris .",train,1
"There 's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there 's nothing else happening .",train,3
"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",train,1
Chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .,train,1
"Large budget notwithstanding , the movie is such a blip on the year 's radar screen that it 's tempting just to go with it for the ride .",train,3
All the well-meaningness in the world ca n't erase the fact that The Believer feels like a 12-Step Program for the Jewish Nazi .,train,1
"A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .",train,3
"If the first Men in Black was money , the second is small change .",train,1
Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .,train,3
"On its own staggeringly unoriginal terms , this gender-bending comedy is generally quite funny .",train,3
It 's an awfully derivative story .,train,1
"Otherwise , this could be a passable date film .",train,1
"No one can doubt the filmmakers ' motives , but The Guys still feels counterproductive .",train,1
Discursive but oddly riveting documentary .,train,3
DeMeo is not without talent ; he just needs better material .,train,2
"With Rare Birds , as with The Shipping News before it , an attempt is made to transplant a Hollywood star into Newfoundland 's wild soil -- and The Rock once again resists the intrusion .",train,2
"The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .",train,3
plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure Hollywood .,train,1
"The story may not be new , but Australian director John Polson , making his American feature debut , jazzes it up adroitly .",train,3
"Enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse .",train,3
It 's just merely very bad .,train,1
The film will appeal to Discovery Channel fans and will surely widen the perspective of those of us who see the continent through rose-colored glasses .,train,2
"Divine Secrets of the Ya-Ya Sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .",train,3
This is no `` Waterboy ! '',train,1
Starts off witty and sophisticated and you want to love it -- but filmmaker Yvan Attal quickly writes himself into a corner .,train,1
"Though Catch Me If You Can is n't badly made , the fun slowly leaks out of the movie .",train,2
"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",train,1
"Sayles has a knack for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors .",train,3
"As home movie gone haywire , it 's pretty enjoyable , but as sexual manifesto , I 'd rather listen to old Tori Amos records .",train,2
"- West Coast rap wars , this modern mob music drama never fails to fascinate .",train,3
"Occasionally melodramatic , it 's also extremely effective .",train,3
"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",train,3
"There are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys .",train,3
My own minority report is that it stinks .,train,1
( Hell is ) looking down at your watch and realizing Serving Sara is n't even halfway through .,train,1
It 's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow .,train,1
"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted .",train,1
The story has some nice twists but the ending and some of the back-story is a little tired .,train,1
"It has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death .",train,1
Just like Igby .,train,2
None of the characters or plot-lines are fleshed-out enough to build any interest .,train,1
"Like The Full Monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll .",train,3
"A movie just for Friday fans , critics be damned .",train,3
"Did no one on the set have a sense of humor , or did they not have the nerve to speak up ?",train,1
"Skins has a right to yawp , and we have a right to our grains of salt .",train,2
"By taking Entertainment Tonight subject matter and giving it humor and poignancy , Auto Focus becomes both gut-bustingly funny and crushingly depressing .",train,2
"Thanks to Haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , Far From Heaven actually pulls off this stylistic juggling act .",train,3
"As the dominant Christine , Sylvie Testud is icily brilliant .",train,3
"At the end of the movie , my 6-year-old nephew said , `` I guess I come from a broken family , and my uncles are all aliens , too . ''",train,2
"... flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags .",train,3
"but rather , ` How can you charge money for this ? '",train,1
More of the same old garbage Hollywood has been trying to pass off as acceptable teen entertainment for some time now .,train,1
You want to call Domino 's .,train,2
There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,train,3
It all adds up to good fun .,train,3
Writer-director Juan Carlos Fresnadillo makes a feature debut that is fully formed and remarkably assured .,train,3
"Visually , ` Santa Clause 2 ' is wondrously creative .",train,3
A movie with a real anarchic flair .,train,3
"This limp gender-bender-baller from a first-time director and rookie screenwriter steals wholesale from that 1982 's Tootsie , forgetting only to retain a single laugh .",train,1
But what 's nice is that there 's a casual intelligence that permeates the script .,train,3
"The director mostly plays it straight , turning Leys ' fable into a listless climb down the social ladder .",train,1
So original in its base concept that you can not help but get caught up .,train,3
It 's about issues most adults have to face in marriage and I think that 's what I liked about it -- the real issues tucked between the silly and crude storyline .,train,3
"Sometimes it feels as if it might have been made in the '70s or '80s , and starred Chevy Chase and Goldie Hawn .",train,2
A manically generous Christmas vaudeville .,train,3
"This is a movie that starts out like Heathers , then becomes Bring it On , then becomes unwatchable .",train,1
"Not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy Hollywood at its laziest .",train,1
"The Hours makes you examine your own life in much the same way its characters do , and the experience is profound .",train,3
A dashing and absorbing outing with one of France 's most inventive directors .,train,3
"Although made on a shoestring and unevenly acted , conjures a Lynch-like vision of the rotting underbelly of Middle America .",train,1
If you open yourself up to Mr. Reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .,train,3
"Talk To Her is not the perfect movie many have made it out to be , but it 's still quite worth seeing .",train,3
"Gay or straight , Kissing Jessica Stein is one of the greatest date movies in years .",train,3
Its initial excitement settles into a warmed over pastiche .,train,1
"You would n't call The Good Girl a date movie ( an anti-date movie is more like it ) , but when it 's good , it 's good and horrid .",train,2
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,train,3
Little more than a frothy vanity project .,train,1
"Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .",train,3
"Belongs to Daniel Day-Lewis as much as it belongs to Martin Scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",train,3
"A good music documentary , probably one of the best since The Last Waltz .",train,3
"Hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile ( emphasized here ) accent the humor of Wilson 's plight , and that saves his pathos from drippiness .",train,2
Like Mike is n't interested in recycling old cliches .,train,2
A wannabe comedy of manners about a brainy prep-school kid with a Mrs. Robinson complex founders on its own preciousness -- and squanders its beautiful women .,train,1
And Diesel is n't the actor to save it .,train,1
"Filmmakers Dana Janklowicz-Mann and Amir Mann area headed east , Far East , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of German Jewish refugees while the world 's democracie",train,3
Kapur 's contradictory feelings about his material result in a movie that works against itself .,train,1
Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire .,train,1
"It 's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it 's savvy about celebrity and has more guts and energy than much of what will open this year .",train,3
Tennessee Williams by way of Oprah 's Book Club .,train,2
Witty dialog between realistic characters showing honest emotions .,train,3
"It 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",train,1
Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,train,1
"The film is all over the place , really .",train,1
"Suggests puns about ingredients and soup and somebody being off their noodle , but let 's just say the ingredients do n't quite add up to a meal .",train,1
"This is as powerful a set of evidence as you 'll ever find of why art matters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives .",train,3
"Swinging , the film makes it seem , is not a hobby that attracts the young and fit .",train,1
A perfectly pleasant if slightly pokey comedy .,train,3
Will no doubt delight Plympton 's legion of fans ; others may find 80 minutes of these shenanigans exhausting .,train,2
Aggressive self-glorification and a manipulative whitewash .,train,1
"There are many things that solid acting can do for a movie , but crafting something promising from a mediocre screenplay is not one of them .",train,2
"Choppy , overlong documentary about ` The Lifestyle . '",train,1
Fails to bring as much to the table .,train,1
It must be the end of the world : the best film so far this year is a franchise sequel starring Wesley Snipes .,train,3
"Third time 's the charm ... yeah , baby !",train,3
... too contrived to be as naturally charming as it needs to be .,train,1
"A gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost .",train,3
"The movie is hardly a masterpiece , but it does mark Ms. Bullock 's best work in some time .",train,3
A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,train,3
"Rarely has skin looked as beautiful , desirable , even delectable , as it does in Trouble Every Day .",train,3
"There 's a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title .",train,1
"Feel bad for King , who 's honestly trying , and Schwartzman , who 's shot himself in the foot .",train,1
"Safe Conduct , however ambitious and well-intentioned , fails to hit the entertainment bull 's - eye .",train,1
What 's next ?,train,3
A decidedly mixed bag .,train,2
"I did n't laugh at the ongoing efforts of Cube , and his skinny buddy Mike Epps , to make like Laurel and Hardy 'n the hood .",train,1
Friday After Next has the same problem that Next Friday did -- it 's called Where 's Chris Tucker When You Need Him ?,train,1
"One of these days Hollywood will come up with an original idea for a teen movie , but until then there 's always these rehashes to feed to the younger generations .",train,1
It 's no accident that The Accidental Spy is a solid action pic that returns the martial arts master to top form .,train,3
"These spiders can outrun a motorcycle and wrap a person in a sticky cocoon in seconds , but they fall short of being interesting or entertaining .",train,1
The episodic film makes valid points about the depersonalization of modern life .,train,3
"In the end , there is n't much to it .",train,1
"While most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world .",train,3
Craig Bartlett and director Tuck Tucker should be commended for illustrating the merits of fighting hard for something that really matters .,train,3
Genuinely unnerving .,train,3
"Ends up being mostly about ravishing costumes , eye-filling , wide-screen production design and Joan 's wacky decision to stand by her man , no matter how many times he demonstrates that he 's a disloyal satyr .",train,2
"The film does a solid job of slowly , steadily building up to the climactic burst of violence .",train,3
"A surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .",train,1
"It is amusing , and that 's all it needs to be .",train,3
"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .",train,3
Rife with nutty cliches and far too much dialogue .,train,1
A rewarding work of art for only the most patient and challenge-hungry moviegoers .,train,3
"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon ( who is always a joy to watch , even when her material is not first-rate ) ...",train,3
"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",train,3
But even a hero can stumble sometimes .,train,1
The film sparkles with the the wisdom and humor of its subjects .,train,3
"None of this has the suavity or classical familiarity of Bond , but much of it is good for a laugh .",train,2
"Skillful as he is , Mr. Shyamalan is undone by his pretensions .",train,2
"Its over-reliance on genre conventions , character types and formulaic conflict resolutions crushes all the goodwill it otherwise develops .",train,1
"But the talented cast alone will keep you watching , as will the fight scenes .",train,3
"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",train,3
"Ostensibly celebrates middle-aged girl power , even as it presents friendship between women as pathetic , dysfunctional and destructive .",train,1
"Ultimately , the film never recovers from the clumsy cliché of the ugly American abroad , and the too-frosty exterior Ms. Paltrow employs to authenticate her British persona is another liability .",train,1
It 's just filler .,train,1
Only two-fifths of a satisfying movie experience .,train,2
A drama ?,train,2
"Even with Harris 's strong effort , the script gives him little to effectively probe Lear 's soul-stripping breakdown .",train,2
"Watchable up until the point where the situations and the dialogue spin hopelessly out of control -- that is to say , when Carol Kane appears on the screen .",train,1
"Woven together handsomely , recalling sixties ' rockumentary milestones from Lonely Boy to Do n't Look Back .",train,3
Guillen rarely gets beneath the surface of things .,train,1
"A beguiling , slow-moving parable about the collision of past and present on a remote seacoast in Iran .",train,2
That rara avis : the intelligent romantic comedy with actual ideas on its mind .,train,3
it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original .,train,3
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,train,1
"Ultimately , `` MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .",train,3
"An amateurish , quasi-improvised acting exercise shot on ugly digital video .",train,1
"An ugly , revolting movie .",train,1
"both overstuffed and undernourished ... The film ca n't be called a solid success , although there 's plenty of evidence here to indicate Clooney might have better luck next time .",train,2
Has its charming quirks and its dull spots .,train,2
That the film opens with maggots crawling on a dead dog is not an out of place metaphor .,train,1
What you end up getting is the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between .,train,2
"Franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance SONNY needs to overcome gaps in character development and story logic .",train,1
"American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .",train,3
"Plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",train,1
He fails .,train,1
Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .,train,3
"The longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .",train,1
"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",train,2
"The problem with The Bread , My Sweet is that it 's far too sentimental .",train,1
"Despite a powerful portrayal by Binoche , it 's a period romance that suffers from an overly deliberate pace and uneven narrative momentum .",train,1
"Watching War Photographer , you come to believe that Nachtwey hates the wars he shows and empathizes with the victims he reveals .",train,3
"Besides , real movie producers are n't this nice .",train,2
"Self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .",train,2
"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",train,1
"Showtime is one of the hapless victims of the arrogant `` if we put together a wry white man and a chatty black man and give them guns , the movie will be funny '' syndrome .",train,1
Too many improbabilities and rose-colored situations temper what could 've been an impacting film .,train,2
A well acted and well intentioned snoozer .,train,1
"Awesome work : ineffable , elusive , yet inexplicably powerful",train,3
"Overall , the film misses the brilliance of Jelinek 's novel by some way .",train,1
But it was n't .,train,1
The whole movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well .,train,1
"K-19 may not hold a lot of water as a submarine epic , but it holds even less when it turns into an elegiacally soggy Saving Private Ryanovich .",train,1
You 'll end up moved .,train,3
"We have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat .",train,1
"Blessed with a searing lead performance by Ryan Gosling ( Murder by Numbers ) , the movie is powerful and provocative .",train,3
